the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,
0101000020E61000002531E01ADDCC52C08E2A9DD118094440,0101000020110F0000BDA7601F22EF5FC11B2227D6FC995241,803,174761,Ne Willow Grove/Germantown mid block/Baker Street Bread,no,40.07106991,-75.20099518,19118
0101000020E61000003A5EACB102C952C05CF475336DFB4340,0101000020110F0000EF51B49A96E85FC1594D54DDD38A5241,804,174762,Nw 2nd/Poplar,no,39.96427005,-75.14078943,19123
0101000020E6100000B016922C11CA52C0B675BB6E0C094440,0101000020110F000087BBBB0A62EA5FC183BCFE16EF995241,805,174763,Se 77th/Ogontz,no,40.07069191,-75.15729822,19150
0101000020E610000065D6519C95CB52C09B4F05BE30FA4340,0101000020110F0000EF4C27D7F5EC5FC173936A3875895241,806,174764,Ne Schuylkill/Market,no,39.9546125,-75.18100651,19104
0101000020E6100000C2F916D071CF52C07FD7CD3DB9FA4340,0101000020110F000037FEBF6684F35FC17C0272750C8A5241,807,174765,Se 60th/Walnut,no,39.95877812,-75.24132159,19139
0101000020E61000006FC4DC1616CA52C07741C25E23094440,0101000020110F00005D8411646AEA5FC15CD2FE8B089A5241,808,174766,Sw 78th/Ogontz,no,40.07139191,-75.15759822,19150
0101000020E6100000B68970EB1FCA52C00A181CA161094440,0101000020110F00000964BA167BEA5FC1738B53A54D9A5241,809,174767,Nw 80th/Ogontz,no,40.07329191,-75.15819822,19150
0101000020E6100000AA1098359BC952C0B28AA3D0AD074440,0101000020110F0000E18BBBAA99E95FC11BCB5AFE69985241,810,174768,Ne 69th/Ogontz,yes,40.05999191,-75.15009823,19138
0101000020E6100000838B41F42BCA52C0C39C2D37BAFC4340,0101000020110F0000A908CE878FEA5FC1A8800DE8448C5241,811,174769,SW Broad/Master,no,39.97443285,-75.15893275,19121
0101000020E6100000FA917BE1BCCD52C07F1C215A35044440,0101000020110F000046B2713A9EF05FC1BBAFA04C90945241,812,174770,Sw Ridge/Lyceum,no,40.03287818,-75.21465337,19128
0101000020E61000009736079162CE52C0110CD4AAE3FA4340,0101000020110F0000E32E84A9B7F15FC18A78BA773B8A5241,813,174771,Ne 52nd/Market,no,39.96007285,-75.22476602,19139
0101000020E61000009E7ADA59C1CD52C0FBA253092E044440,0101000020110F000007E245D2A5F05FC16E50492F88945241,814,174772,Nw Ridge/Lyceum,no,40.03265492,-75.21492621,19128
0101000020E61000009C3BFD5707CA52C0888FA79EC7084440,0101000020110F0000FC03115851EA5FC16AE565B8A2995241,815,174773,Se Washington Lane/Ogontz,no,40.06859191,-75.15669822,19138
0101000020E6100000F4EC90E3E2CE52C0A2B950C9DF054440,0101000020110F000087F275A191F25FC1FEA64A5A69965241,816,174774,Ne Ridge/Domino Ln.,no,40.04589192,-75.2325982,19128
0101000020E6100000565D7BAB7BCE52C0DC193ABF08FA4340,0101000020110F00002EA27E4DE2F15FC128C77AE848895241,817,174775,Sw 52nd/Pine,no,39.95339194,-75.22629821,19143
0101000020E6100000D309A85798C952C0372B94502D024440,0101000020110F00007ED310CC94E95FC14B0A3B884F925241,818,174776,Broad & Hunting Park McDonalds,no,40.0170079,-75.14992324,19140
0101000020E610000075873796F4C952C0063A5AEA9DF84340,0101000020110F0000DAE6C57B31EA5FC1453E27F3B6875241,819,174777,Sw 8th/South,yes,39.9423192,-75.15555339,19147
0101000020E6100000763BAD7DEBC952C08EB7ABA751084440,0101000020110F00000A5F830822EA5FC139987FCE1F995241,820,174778,Nw Tulpehocken/Ogontz,no,40.06499191,-75.15499823,19138
0101000020E6100000C092501A78CF52C0972916CE96FA4340,0101000020110F00004010E1158FF35FC15B88944DE6895241,821,174779,Se 60th/Locust,no,39.9577272,-75.24170549,19139
0101000020E6100000D8D326011BCA52C035655D2344094440,0101000020110F00003F4066BD72EA5FC146BD1BEA2C9A5241,822,174780,Nw 79th/Ogontz,no,40.07239191,-75.15789822,19150
0101000020E6100000EBEA4E55E8CD52C01B0BD6C96C044440,0101000020110F00000D996109E8F05FC123B581CACD945241,823,174781,Nw Ridge/Dupont,no,40.03456996,-75.2173055,19128
0101000020E61000007994CA46D1C952C0B1B5CA7037084440,0101000020110F0000EF296681F5E95FC1F87436B702995241,824,174782,Sw Walnut Lane/Ogontz,no,40.06419191,-75.15339823,19138
0101000020E610000092117DE4C0C952C0238DE6391D084440,0101000020110F00006128F4ACD9E95FC1B43500A0E5985241,825,174783,Ne Homer/Ogontz,no,40.06339191,-75.15239823,19138
0101000020E6100000CE21805046C952C06FE25A420B054440,0101000020110F000063E7E27609E95FC1636683947D955241,826,174784,Ne Broad/Olney,no,40.0394061,-75.14491665,19141
0101000020E6100000250A2D9F79CF52C0B3820C0D6BFA4340,0101000020110F0000AB2666AA91F35FC1C1B4FBD2B5895241,827,174785,Se 60th/Spruce,no,39.95639194,-75.2417982,19139
0101000020E6100000A43EB851F8C952C0DB2100AEA9FE4340,0101000020110F0000766BCAD237EA5FC1CF6A02136A8E5241,828,174787,Nw Broad/York,no,39.98955321,-75.1557812,19132
0101000020E6100000E819B85D19CA52C068A4386A47094440,0101000020110F00002D79F3F46FEA5FC11E5F1F8D309A5241,829,174788,Ne 79th/Ogontz,no,40.07249191,-75.15779822,19150
0101000020E6100000A1DA965EF7C852C03BE7A98FBCFB4340,0101000020110F0000EB82515E83E85FC169762DCE2B8B5241,830,174851,Ne 2nd/Wildley,yes,39.96669193,-75.14009824,19123
